,Sentences,Negativity
0,i just feel really helpless and heavy hearted,1
1,ive enjoyed being able to slouch about relax and unwind and frankly needed it after those last few weeks around the end of uni and the expo i have lately started to find myself feeling a bit listless which is never really a good thing,1
2,i gave up my internship with the dmrg and am feeling distraught,1
3,i dont know i feel so lost,1
4,i am a kindergarten teacher and i am thoroughly weary of my job after having taken the university entrance exam i suffered from anxiety for weeks as i did not want to carry on with my work studies were the only alternative,1
5,i was beginning to feel quite disheartened,1
6,i would think that whomever would be lucky enough to stay in this suite must feel like it is the most romantic place on earth,0
7,i fear that they won t ever feel that delicious excitement of christmas eve at least not in the same way i remember doing it,0
8,im forever taking some time out to have a lie down because i feel weird,0
9,i can still lose the weight without feeling deprived,1
10,i try to be nice though so if you get a bitchy person on the phone or at the window feel free to have a little fit and throw your pen at her face,0
11,im feeling a little like a damaged tree and that my roots are a little out of wack,1
12,i have officially graduated im not feeling as ecstatic as i thought i would,0
13,i feel like a jerk because the library students who all claim to love scrabble cant be bothered to participate and clearly scrabble is an inappropriate choice for a group of students whose native language isnt english,1
14,i feel my portfolio demonstrates how eager i am to learn but some who know me better might call it annoyingly persistent,0
15,i may be more biased than the next because i have a dependent life to take care of and to keep safe but i feel we all need to take care of ourselves as well,0
16,i didn t feel terrific,0
17,i miss all the others as well that feel that i wronged them and they will soon understand that i didnt,1
18,i feel so stupid that i realise it so late,1
19,i saunter through the airport terminals feeling that i have had an experience that renders the petty tribulations of everyday travel somehow far less significant,1
20,i need to feel dangerous and pretty so here a striking dance pick deep in vogue minutes ago,1
21,i am feeling much stronger and more confident now and by professional opinion i know that i do not have anything serious,0
22,i take a shower i feel wonderful energetic and all my previous feelings about my life turn into this awesome feeling creating my life like the happiest life in the world,0
23,i don t feel submissive and for the time being i ve lost interest in some bdsm stuff,1
24,i would imagine this is just one of the reasons why marriage is so hard because theyll see all the good bad and ugly parts of you the parts that make it hard for you to love yourself and it feels even more awful when you feel like those parts are exposed to other people and i dont know,1
25,i feel like a real fan not that i was ever a fake fan,1
26,i feel like i am actually getting something useful out of it,0
27,i was able to overcome this anxiousness and feel peaceful as i quickly jotted down all the answers to todays homework,0
28,when,1
29,i have been successful in providing some peace of mind i feel content,0
30,i guess that feeling is what im really getting all nostalgic about,0
31,i needed to show me that i really am integrating and making connections here since i had been feeling pretty homesick the week before,1
32,i feel disheartened to message him and yet does not get a reply or any news from him,1
33,i feel assured that i m doing so much right and that i am not alone,0
34,i was less intelligent and could not really feel through my music was not passionate about the little things im not sure i would go for it,0
35,i found jason s observation very helpful in restating a truth i learned some years ago as my wife and i now together for years went through some times when you love someone trust can feel an awful lot like letting go,1
36,i admit some of my inspiration to go this direction is because i am feeling a little melancholy that i won t be making my a href http www,1
37,i have found myself feeling hopeless about the future and about life,1
38,i kinda have a feeling that something will come damaged and it wont be returnable or that the whole thing will have a defect,1
39,this emotion has never been an intense one,1
40,i dunno i just feel scared to walk in after awhile it got ok but when i walk into this room w poorly erected brick walls separating the room into xm partitions,1
41,i feel about my holiday break from work pagetitle rugmi popular images of the now,0
42,i think a guy can make up for lacking funds in romantic ways to make his lady feel taken care of and loved,0
43,i began to feel doomed,1
44,i feel my life is totally in ecstatic chaos,0
45,i feel i am being neglectful to a lot of you by not responding to your comments,1
46,i havent done my eye make up i hate anyone seeing me and i feel nekkid that sounds really vain but i just think i look horrendous without it,1
47,i feel a bit intimidated and out of my league due to his experience,1
48,i remember feeling after the third bong hit that i was being pressured into this,1
49,i feel anger when i see a parent beating and punishing his child in the street recently i was a withness of a similar case,1
50,i have wished her the best and i truly feel as though i am sincere about this,0
51,i would want to thank them for letting my heart feel the lovely phenomenon for the first time,0
52,i was feeling lousy and wondering if i d be able to keep up with the vlcd part of the hcg cycle,1
53,i feel so much more intelligent now,0
54,i feel distraught and completely tormented every time my phone goes off i hope,1
55,i will reveal only as much of my reading here as i feel comfortable with,0
56,i went from feeling like i knew what i was doing to feeling completely helpless,1
57,i got quite high and started to be really really random and like i didnt feel that awkward with the year s anymore,1
58,i am saying is im trying to learn what to do when i feel like theres not enough time in one day let alone a whole lifetime to do what is required of me,1
59,i have a feeling that has to do with the unfortunate fact that our family cat recently passed away,1
60,i feel a lot less hostile,1
61,i miss feeling am his only special girl hed take out on a date,0
62,i do with family education and one way we feel that family education is so vital not just because you can come in and help the one who is addicted it is for the family because they are also negatively impacted by the slough that comes off with a person who is addicted,0
63,i will never feel completely content i will always long for more,0
64,im feeling a little better and with more christmas spirit i thought that by this date id had all my christmas decorations up but im not finish even with the lights,0
65,i was feeling extremely generous last night so my companion ate double and i just told the lion in my stomach to pipe it,0
66,i suppose because there is so much to do i feel over burdened,1
67,i feel strong confident intelligent and ready to step out into the real world,0
68,i know how you feel about being shy,1
69,i know im going to disappoint you but ive decided not to volunteer this year because i fear ill end up feeling resentful,1
70,i feel that lauterbach was victimized again and again,1
71,i feel wronged by certain people and my instinct was to get angry at them and stop speaking to them but two wrongs dont make a right i think,1
72,im noticing how easy it is to waver between excitement and engagement in the everyday the mundane the fun sparkly shiny stuff of life and absolute desperate misery or guilt for not feeling miserable more often,1
73,ill write here from time to time when im feeling especially inspired but for the most part im done,0
74,i am still a bit of a pagan in that respect in that i feel everything has something of the divine in it and god is not separate from the earth but part of it as are we,0
75,i didn t feel threatened at all in fact the place seemed almost welcoming comforting even,1
76,i feel that the technology and the act of communication are their own challenge and i have been hesitant to figure out how to make it work,1
77,i feel so devastated over someone i was skeptical about all along,1
78,i have to put on a mask when i come into work i have to suppress all of the emptiness i feel inside the pain and loneliness the bitter and jaded woman that i really am,1
79,i have been able to lose three kilo s and i am feeling more energetic even with an month old so things seem to be on track,0
80,i feel free to express myself without inhibition,0
81,realizing that school will soon be over,1
82,i remember then feeling bitter that i couldnt pop the balloons and join in the celebrations,1
83,i think that was what got me started feeling homesick,1
84,id have good days weeks months but i kept feeling like it cant last life cant be this sweet,0
85,im the customer i wont feel welcomed but intimidated,0
86,i feeling glamourous i wear something glamourous i feeling more relaxed i put on me feel relaxed so basically fashion expression of person,0
87,i am feeling rather fond of my neighbourhood right now,0
88,im still me its just im feeling affectionate here lately,0
89,i was feeling really overwhelmed,0
90,i don t want to sit inside and be alone i don t want to just do nothing but i also feel anxious overwhelmed,1
