,Sentences,Negativity
0,my poor little dumpling in holmdel vids he wa really trying hope he dont try to hard tonight xx,1
1,i'm off too bed i gotta wake up hella early tomorrow morning,1
2,i havent been able to listen to it yet my speaker are busted,1
3,now remembers why solving a relatively big equation with two unknown is a total pain in the butt,1
4,ate too much feel sick,1
5,tried to purchase a parked domain through godaddy down the drain kind of like gambling,1
6,on lunch dj should come eat with me,0
7,just got back from va tech equine medical center my poor lilly ha to be on stall rest for at least another month,1
8,can't log in to my other twitter account super bummed,1
9,adventure that's what we all need in our life i am glad you had a great week thanks for yr response,0
10,zach make me pee sitting down and i'm a grown gay man,0
11,to sum up my day in one word kackered,0
12,great mind think alike,0
13,is very tired and doesn't want to clean anymore,1
14,thanks for the follow how are you nessie,0
15,thanks guy added a couple of love handle inch after tayyabs,0
16,i'm feeling quite sleepy today wish i could stay in bed today but ok is my last year so let's go to school,0
17,so sad tough game went into pk's screw you,1
18,i miss you i wish it wa the th already,1
19,i'm leaving in a while,1
20,oh i've lost my ipod what a dickhead i am,1
21,whaddup whaddup whaddup whaddup whaddup i got white girl swag from my head to my shoe whaddup,0
22,congrats on getting out the hadoop book esp the zookeeper chapter,0
23,working on photo from hillsong's year celebration stay tuned www hillsong co za,0
24,i heard that supernatural and click flash didn't make the cut on the final product why ciara why,1
25,willow seems almost better harper sound worse off to the drs,1
26,my favorite word is no,0
27,dood they've locked down your vimeo wh video,1
28,is having information overload getting dizzy,1
29,you're absolutely right,0
30,honestly it depends on the woman i love dress that tend to dip low in the back,0
31,i feel a though i'm letting down the feminist side by being so focused on atp and not nearly a much on wta sorry,1
32,im trying to keep awake it painful,1
33,feeling ill ill ill goodnight,1
34,the best part about that is when you do use an ie useragent it say to disable compatibility mode in the hint,1
35,where is the love yall seeing movie without me,1
36,wish i wa there,1
37,watching tv quot fast furious quot dang i remember when i loved this damn movie,0
38,doh planned to do some work in the cafe before a meeting eduroam is not working spent the last ten minute setting up roamnet,1
39,hahaha blakk is reckkkin it p throwwwwwed,0
40,roaming the floor today i will need some company on here it's not busy,0
41,hi sound like you're feeling a bit better that's great you have a great day,0
42,here dude we got here n a table readyyy fo u,0
43,hi carrie how are you this morning xxx,0
44,on a good note we did meet at marty richards red ball a few year ago you were so sweet to me i'll never forget it,0
45,why doe it always rain when your not heree,1
46,hahahahahahhahaha i dont think we need to jump anyone she's hot hewouldbeluckytobebuttercupdsboyfriend,0
47,good morning to you no sun here today i am afraid it rainng but got my coffee,1
48,no prob anytime you need some drinking support encouragement i quot m here it's my specialty,0
49,ok i will go back to painting my house,1
50,there r a few of u local yocals around happy to find u on twitter day,0
51,just back from supercheap a most successful trip the bike are tanked amp checked for the week so all ready to start relaxing,0
52,nope i know,1
53,good work,0
54,i thought you'd be pissed at me because you love cl i totally respect her and that's why i made the reference,0
55,oklahoma for a couple hour i'm seriously missing civilization,1
56,i ended up helping out radio newsbeat out there it wa a massively fun evening i spent with them champion of england,0
57,while your at it can you make me a thingamy look a bit like but bigger and it offer a hole in it engineeringdrawing,0
58,finally im backkkkkkk d and with bad news r i p don to o,1
59,happy mother's day to the wondeful mum's in america god bless you all,0
60,say i so miss justice broom box kada,1
61,aw cool and the woman who play morgana in merlin is in it too,0
62,,0
63,night in with the rock star,0
64,don't really have a reason haha sound stupid i'll be,0
65,ugh i wish this school year would go faster so i can move on in life,0
66,can only make what the company ha available,1
67,hope you guy are all going well with your net assignment i'm trying to cut down to,1
68,off to whipsnade hope it's dry,0
69,i wa at the park today and i wa racing my cousin and i slipped and cut my arm,1
70,keen for hey monday to make a mess in new zealand if only i lt jesus straight up christian,1
71,ah poor you i hate when that happens,1
72,fine kinders coughing again so not a lot of sleep weather's good though that's the main thing,0
73,it's just you and me bro,0
74,setting up the wireless access layer of my network today mesh lab coming online can't wait to run load through it and gather data,0
75,it official my bos and savior is leaving arco arena for future endevors this really suck,1
76,mourniiiiiiing eh morniiing,0
77,in business lesson listen music,0
78,enjoying the last ray of the weekend sun,0
79,they have a tapex on campus safe to say they make lot of money,1
80,ok ok i'm completely stuffed full of avocado i thnk if i wa on survivor i'd be fine if there wa just one avo tree,0
81,now your leaving me get sad,1
82,seattle pride will be june th at am come out and support your community march with the marriage equality contingent,0
83,don't ask me i still have no idea how to work twitter,0
84,i miss you fool,1
85,really craving some chocolate i think i should continue my diet,1
86,omg i have a pimple coming in on my forehead i guess it true no body's perfect,1
87,luvly day in the sunshine onli day now oasis,0
88,last day at the sioux fall salon i will miss my younker family fb,1
89,it like getting an a for all your class,0
90,you should work on the next cruise amiga,0
91,can u check mine out and tell me wat u think www myspace com trabeezy,0
92,i have find my someone,0
93,we are the quot fugazi patrol quot amp our motto is quot if u see a clown point em out quot please let everyone know about u,0
94,it is ginormous haha well i feel wierd talking about myy ziiiit ta ta good nightt,0
95,i'm obsessed with twitting haha,0
96,is on the phone,0
97,so horrible the poor mom,1
98,i do but then what after that a desolate wasteland of nothing i'll be like mel when he wa left naked in the desert,1
99,the garden look beautiful too bad you can't see it,1
100,oh i've got a case i designed it someone idiot stole it and i can prove it if they want to play hardball i'm game,0
101,my smartcard fell out of it holder when i wa going home today if anyone find it please tell me,1
102,congrats on the x platinum it's a fantastic album one of my favs,0
103,starbucks the best way to start the morning,0
104,how i met your mother the leap tomorrow am,0
105,is already up and tired,1
106,i never got a bell,1
107,ikr but i hate the lack of troyella ggmow always make me so sad,1
108,josh just owned me and justin in skate time to study,1
109,do you know how important is for me what you said you make me cry hahah,1
110,i am so tired of dreaming i am ready to see some reality,0
111,look like i might be staying in tonight,1
112,i know right i wanted to have an account there so i could get that song but mom wouldn't let me it suck,1
113,homework all day ugh,1
114,doh my dad jumped into the ocean with his camera in his pocket,1
115,so so so so bored,1
116,dude i got to meet you future east coast meetup you are hysterical,0
117,i feel your pain disneyland today on hr of sleep,1
118,fine food amp friend this evening huh will be missed,1
119,damn it raining,1
120,i have a bb pearl here the keyboard wont let me type a phone number what should i do im a se boy,0
121,ugh so sorry,1
122,i know i don't think they air it on any of the cable channel anymore but you can download them from the net,0
123,you will check the website so you can have an idea a to what product u want to try i will sent u the email tomorrow,0
124,why couldn't it have been rodrigo bb,1
125,hey there you are here for the fun until twitter go down for maint,1
126,ha just joined twitter it better be good,0
127,too much music and nothing to put it on,1
128,i'm not sure if mr saturday is playing game or not he had to back out of our date this week because he's sick,1
129,he never mentioned amaeballs the moment ha passed sad,1
130,where's all the rain we were supposed to have today not complaining tho it's lovely amp bright very happy making,0
131,your rockinggg twitter im sooo proud of u,0
132,feel bad for my woman,1
133,lol yes but lerff fact predate that,0
134,no no really it ok u try em out and then u can see which work and doesnt by that time it to late,0
135,happy summer solstice in the northern hemisphere summer solstice began on june at a m edt now the day get shorter,1
136,july th i bet i have work come charlotte i'm sure my manager wouldn't mind if u sang to me in the fittingroom lol,1
137,idk how to help anymore maybe youll just have to learn the hard way whatever im going bed driver ed is gonna be hell tomorrow,1
138,no your today though so thegirls are free to relaxin the scottish sun,0
139,at work drinking coffee kinda listening to local news hungry a usual,1
140,thanks let u know if you need any info from u,0
141,thinking there are some change i should make to my paper but i've already printed them,1
142,on my way to university again miss my learning group this morning,1
143,losing lb by will be easy tell me ur secret i've been trying for lb for month but not getting anywhere,1
144,is new to twitter offering of help are warmly welcomed hahaha,0
145,at church not feeling very well at all,1
146,no prop for the wine merch,1
147,heidi ha officially destroyed my frogbur hopefully i can fix it,1
148,im still eating some chocolate from easter homework studying for half yearly is waaay too boring i prefer the interent xd,0
149,get follower a day using www tweeterfollow com once you add everyone you are on the train or pay vip,0
150,i wa looking for your breakfast show page and failed miserably where is it,0
151,shwmae david is now at ha been posting there since having probs with his account,0
152,i can't play voleyball today i have to go to the doctor,1
153,the same reason why i always look forward to reading your editorial in the www fandwb com love from everyone,0
154,leaving florida so excited,0
155,roast in the cooker and cake in the oven soon good morning hope everyone is well today,0
156,it seems a new friendfeed user interface ui is coming soon the current one wa too young friendfeed,1
157,driving my niece back to boston on easter sunday priceless blowing through the fastlane without a pas,1
158,i hate the rainnnn it make my allergy three time worse,1
159,to be fair i think part of her is happy she didnt win she looked under so much pressure,1
160,hmm my son are on the couch playing nd for hour,1
161,is not looking forward to work or school,1
162,love your hair dont ever cut ur lock,0
163,can't wait we're super excited,0
164,high low,0
165,and the motivation came yay not finished yet but well on my way gonna go finish it xx,0
166,morning world i feel pretty good i slept for hour til pm then another or so til now boyf woke up with an upset tummy tho,1
167,david mitchell's presenting 'have i got news for you' tonight lt i love him i think he's ace lt on another note damn this headache,1
168,on schedule now to soft launch tomorrow evening already have first customer lost cat,0
169,quot thank you lord for reminding me to see myself the way you see me quot,0
170,i wa looking at an old poster from busted the other day you had really short hair and everythng young ta old,0
171,aww have fun wish i could go,1
172,home from a long day of work i wore heel from am to pm i must be crazy came right home to soak the feets lol who wana rub em,0
173,god me chest feel bad today feel like if a little elphant ha sat on it can no breath prople,1
174,torn i really want to get for hazel this is a great deal but shipping cost just a much a the hat,1
175,ouch it will heal up ok i did that a couple of month ago with my thumb i know it hurt though,1
176,wa listening to wake durring my surgery the phone fell on the way to recovery lost my place when the batery popped out,1
177,awh poor brent for an old guy he wa pretty cute,0
178,i'll be sure to vote for you in that competition a star with your name on it would go well with your idol trophy,0
179,i wish i wa living in your latitude my tomato are still inside but radish are doing well at the allotment,1
180,i'm so jealous i'd love some all you can eat chinese,1
181,just got a call my prius is delayed another week or so everyone want the solar moon roof others waiting it's mine,1
182,the star are out where were you when i needed you,1
183,man it's a horrible day to be stuck inside working the sun want me to go outside,1
184,i really have trouble writing stuff when there's no audience for it i'm sure that say something something about me,1
185,they seem to be a few min behind sometimes sorry i keep refreshing are you going to bed,1
186,cause im a weakling lol for real tho im a preme born month early so i got like bad heart bad sight bad back umm yea,1
187,o how i love you sammoons o how i do,0
188,i miss mummy,1
189,new phone tattoo on monday woo just had tea yummy,0
190,coffee n toast say wt lol gna miss stu whole week xx,1
191,why can't i twitter on my phone sulk,1
192,i sadly wa not there,1
193,my hand have lost half their movement,1
194,i have no comment about who won the game until this replay is completed,0
195,is in trevs room about to do bon qui qui,0
196,just woke up must have been asleep for hour cg podcast is on hiatus till im well im too weak and contagious,1
197,talk meeting tonight at tampa chamber at pm with a guest speaker on word of mouth marketing happy hour after tinatapas,0
198,in lucien's library you'll find the complete story of someday we'll finish this,0
199,downtown disney,0
200,po aver i'm waithing for my si to come back with my food if alex go ill go cause my bro took my car,1
201,why her whywhywhywhywhy yes i'm aware i'm just jealous but it still bother me ughhhh,1
202,locked out of friendfeed account pw no longer work verification email doe not come for hour,1
203,hahaha don't be scared they need fresh mind and you're it,0
204,and then will farrell ran out with a banjo yep land of the lost wa funny,0
205,cute,0
206,i need a car holy crap,1
207,got one because of my babygirl,0
208,random drunk girl sitting by my car quot is that your man bag quot me quot yes that's my man bag quot btw it name is butch,0
209,i meant to reply you but i kinda replied your dad oopsy anyways how can i vote,0
210,alright this is my debute twitt yay lol,0
211,im covered in the bloody stuff cant use bathroom untils it dried child look on in amusement,1
212,i wa sleepin like a baby then i woke up at am,1
213,do celebs get more character than the rest of u,0
214,all of my horny kitty's have left me,1
215,keyshia cole love bebe too,0
216,hey i tried to buy s album but it didnt work stupid computer is gay,1
217,aaaawww it's always good to live a little,0
218,just got home from a fun night out the beach tomorrow morning,0
219,is ready for work to be over so she can crawl back in bed and maybe get a few hour sleep,1
220,rainy day in philly look like it's gonna be a movie night,1
221,i'm sooo happy you'll get to re take penguin pic i collect penguin stuff and am a penguin freak can't wait to see,0
222,long time to ge on hold lol i wa told day also had have a credit check because i'm a new customer and trading lt year,1
223,nice will let you about our next spiritualwarriors com screening,0
224,i m going to see my honey today ah just see him on the weekend because hi s at the army,1
225,english hmwk suck xx,1
226,he'd go anywhere with me,0
227,go for your life,0
228,just found out there will be a cmap rock wow pretty happay,0
229,recovering from a nyquil hangover blah,1
230,i might take a short little nap right now like half an hour my head hurt from not sleeping,1
231,still tired after nap,1
232,this wa the house i grew up in it's abandoned trashed half burnt down and hobo ridden it's really sad,1
233,finally done work yay,0
234,yeah i love food but you're so small carla i'm flabby,1
235,damn no burning bright,1
236,can i ask a question,0
237,ready to leave blackpool,1
238,mummmmmmmmmmm can you put the pizza in the oven,0
239,haha yeeahh yeahh you know it only till so it not too bad,0
240,is unfortunally watching transformer revenge of the fallen moz but i dnt wanna c it it nt gt rob pattz in,1
241,mmm i wouldn't mind li'l katy's either,0
242,happy birthday mate have a good one,0
243,forgot my macbook's recharger that mean nothing but pratchett for me today,0
244,i get why you'd be asking about batman i'm not sure i want to know why you're assuming it involves penis a well,1
245,oh noooooo french test,1
246,ahh bimbo what the is she trying to do,1
247,eu in year we need a best coverage world take a look here yes here europe is moving,0
248,i haven't laughed this hard in a while,0
249,exam tomorrow,1
250,grrr just spend the last minute making french toast only to discover there is no tomato sauce,1
251,thanks for the tip i'm definitly gonna invest in a steamer,1
252,we've had a lot of rain here lately so i'm expecting a ton of may flower lol enjoy your day,0
253,got dad's birthday present good price i hop he doesn't read this dad if you do don't look revising,0
254,sitting in north carolina with olivia,0
255,the guy behind the scene have been working hard to please you and the other million of fan,0
256,are we going to be able to buy more than ticket online through livenation tomorrow cant make it to la,1
257,at red lobster with the rent,0
258,i feel so bad for my kitty i just want him to feel better,1
259,my last nite in work for week ah im in such good humour,0
260,i needed one after this i work day in a row,1
261,that's life,1
262,i'm sooo tired been up since am and since then running errand and stuff i wanted to go out tonight but i think i'll fall asleep soon,1
263,oh yowch poor car,1
